47	50	53	43	56	68	59	53	59	59	50	50	43	42	49	59	53	66	58	61	70	62	55	53	55	63	58	54	70	59	57	57	61	50	54	48	59	50	59	45	37	59	54	64	59	71	75	52	59	61	70	76	76	45	68	53	45	50	55	58	56	40	53	57	51	54	51	48	53	46	45	42	40	59	57	68	53	45	63	51	50	57	43	49	63	61	64	59	62	50	44	63	56	48	54	48	53	52	40	44	51	59	67	57	53	49	53	44	39	45	54	67	56	58	62	58	70	45	41	51	52	46	49	69	51	55	63	63	51	58
35	69	59	54	51	35	66	64	52	51	51	59	62	59	55	53	43	53	54	64	56	61	48	55	54	55	72	61	44	45	54	49	57	54	56	69	53	55	55	58	62	55	66	56	59	62	67	59	58	46	50	53	49	53	38	54	60	52	45	48	64	48	50	50	46	61	52	43	55	48	49	51	53	61	49	56	63	57	56	61	49	42	53	53	59	46	55	65	45	49	44	56	34	68	49	48	52	49	54	47	58	57	62	61	61	58	73	41	52	53	50	36	62	74	67	55	72	58	68	54	62	46	51	59	61	55	63	54	64	55
55	58	57	56	75	55	60	56	59	65	57	52	57	43	49	47	72	57	70	56	57	55	50	70	58	64	48	51	53	60	50	68	48	53	52	62	50	53	49	58	62	55	57	50	59	51	48	54	45	50	64	58	46	51	67	44	60	67	51	49	67	68	58	59	52	48	57	51	56	51	49	48	57	62	51	48	48	53	60	55	58	58	43	56	62	58	42	46	56	69	59	56	60	48	53	48	52	50	55	63	63	52	78	48	49	66	50	55	57	57	52	57	48	70	62	55	52	59	56	67	57	61	54	59	65	49	57	55	59	47
56	54	59	56	61	56	54	63	55	43	64	52	69	60	66	45	43	53	52	59	61	61	39	71	56	53	62	61	66	62	69	56	55	56	70	48	45	53	38	60	56	65	63	61	64	47	46	54	60	62	49	52	66	75	50	43	65	69	74	50	59	61	58	47	53	37	53	61	47	60	54	65	61	56	46	40	57	64	49	57	51	60	53	46	41	51	41	44	60	67	66	50	49	61	44	58	46	50	59	51	42	62	58	61	51	58	62	52	51	48	43	48	63	55	59	46	43	51	52	67	45	50	49	61	60	47	48	44	51	62
54	60	65	49	59	56	55	67	52	55	49	58	61	54	59	54	62	43	48	59	68	59	49	57	38	59	61	64	48	60	56	57	54	66	61	67	46	60	55	54	43	53	42	58	51	57	63	57	61	57	50	67	72	65	63	64	53	48	53	58	45	48	50	53	58	52	59	58	57	57	65	57	44	57	49	52	52	50	63	61	56	65	55	53	47	46	57	66	57	59	53	44	54	48	61	60	62	42	54	51	59	56	46	42	66	56	62	45	52	69	66	56	64	48	47	46	52	50	58	57	64	49	50	49	51	61	63	48	64	52
54	57	49	46	55	44	67	61	51	60	64	62	47	61	58	61	63	50	50	44	54	51	68	59	64	47	67	52	52	65	56	49	57	55	68	65	52	55	62	52	42	64	48	50	75	46	55	63	61	46	46	51	60	49	56	55	48	52	65	53	56	50	50	73	56	65	55	46	54	49	57	50	62	66	55	51	53	39	59	65	65	68	50	55	56	52	50	53	63	69	50	47	63	55	57	61	51	62	54	47	64	47	61	58	52	48	61	61	53	42	41	55	53	61	63	60	55	40	53	60	63	66	72	68	52	49	49	65	55	59
62	52	63	58	66	60	60	54	61	62	55	44	62	46	65	52	54	55	52	62	59	56	62	38	62	66	70	63	47	66	61	53	60	57	55	51	39	55	52	60	48	59	57	61	60	55	44	66	68	48	45	59	70	61	46	51	49	58	60	59	44	53	64	91	58	56	63	51	59	54	50	62	41	44	47	47	61	46	55	67	56	45	62	47	48	38	65	47	62	62	45	49	60	64	54	60	54	64	50	51	53	46	45	51	54	51	55	58	55	55	72	54	59	73	71	62	58	60	62	47	69	58	51	38	40	58	53	53	40	55
57	49	55	56	46	69	53	56	60	57	60	60	51	49	64	58	52	49	64	63	46	51	58	48	53	60	53	48	61	47	53	58	54	52	62	51	53	56	46	57	59	48	61	48	57	47	67	69	58	58	64	59	69	47	57	51	59	51	69	51	58	48	68	52	54	57	58	66	55	56	56	54	34	53	49	46	63	50	57	43	58	53	51	48	50	59	39	58	72	56	43	50	56	56	66	57	62	64	50	48	50	62	63	61	52	61	55	52	53	66	61	48	48	59	55	60	57	55	52	64	65	52	54	50	54	70	55	47	58	57
60	51	49	60	64	36	51	54	51	52	48	55	56	57	59	45	59	49	55	62	57	59	51	62	61	38	64	53	50	64	59	66	53	50	58	55	58	46	63	57	46	45	51	62	54	58	56	55	46	50	49	48	72	52	49	56	60	53	60	41	38	64	54	71	56	52	50	43	65	53	54	44	44	50	53	54	59	57	61	50	70	71	42	54	56	59	57	54	58	37	73	61	46	64	47	63	50	60	61	62	60	43	62	61	42	57	51	48	48	52	57	62	40	64	57	57	50	49	64	56	70	54	60	64	51	65	27	45	55	49
59	58	52	56	60	51	58	61	69	65	58	69	70	69	52	75	56	47	57	64	43	49	64	47	50	60	48	57	62	47	58	52	62	59	67	49	63	50	53	57	57	62	55	68	58	44	44	48	55	43	74	52	68	62	59	49	54	60	53	54	48	62	58	56	57	59	42	50	50	50	51	59	58	52	53	55	76	56	62	53	46	54	50	50	49	65	41	62	34	39	40	53	50	52	53	63	65	43	61	45	62	71	53	48	56	59	41	38	49	44	41	46	48	67	60	41	40	51	51	46	64	40	69	62	49	54	53	50	49	56
49	63	48	64	62	63	58	47	64	50	61	62	60	69	70	58	59	66	52	49	66	57	55	52	35	54	47	52	62	60	56	59	68	57	47	49	66	53	67	55	45	63	56	70	50	62	43	68	64	47	50	66	54	49	50	60	48	47	59	74	44	54	64	66	59	60	57	53	55	57	59	42	75	55	52	64	71	53	43	51	61	57	66	54	75	66	57	53	58	46	57	48	65	50	63	58	64	49	40	61	40	55	49	57	51	49	53	58	50	58	58	44	56	54	38	52	53	64	71	45	52	65	55	54	66	65	55	54	57	46
60	57	54	64	57	49	60	60	46	56	60	65	45	59	61	59	50	52	52	45	41	60	56	45	91	47	68	47	59	53	47	52	56	63	59	63	46	65	54	49	60	61	67	60	61	68	53	61	50	56	58	50	60	50	61	58	57	56	49	62	59	60	62	59	53	68	52	69	63	56	59	60	55	57	63	59	57	55	54	60	55	49	52	58	48	57	59	51	45	55	43	65	61	46	59	56	57	61	57	65	47	67	49	44	47	47	64	62	58	60	53	60	46	62	45	61	60	71	60	54	49	46	55	62	52	46	59	59	54	58
53	62	59	50	45	59	57	56	63	62	60	58	58	53	36	48	71	62	59	56	74	44	58	47	61	55	52	70	54	61	70	51	48	52	40	59	55	55	48	42	67	66	60	72	57	68	54	68	52	62	60	70	46	45	62	54	66	61	55	50	64	48	53	56	61	41	58	57	53	57	62	63	62	55	49	44	72	53	58	46	54	53	37	63	58	56	46	50	45	53	44	52	65	63	62	55	56	49	54	53	56	57	66	55	53	45	61	47	57	47	57	58	73	53	58	54	44	51	54	52	58	47	48	50	59	49	51	56	48	59
